# AK40-10 Torque/Current Verification Log
# Date: 2026-09-17 09:34:55
# Mode: MIT
# CAN ID: 2
# Kt_eff: 0.4816 Nm/A
# Gear Ratio: 10.0
# Input Mode: AMPS
# MIT Kp: 0.0
# MIT Kd: 0.5
# MIT v_des: 0.0
# MIT p_des: 0.0

time_s,target_current_A,actual_current_A,target_torque_Nm,actual_torque_Nm,position_rad,position_deg,speed_rad_s,speed_rpm,motor_temp_C,mos_temp_C,voltage_V,error_code,sweep_step
0.0787,0.00000,-0.01268,0.00000,-0.00611,0.35954,20.600,-0.03333,-0.318,26.0,26.0,0.0,0,
0.1288,0.00000,-0.02789,0.00000,-0.01343,0.35954,20.600,0.03333,0.318,26.0,26.0,0.0,0,
0.1842,0.00000,-0.00761,0.00000,-0.00366,0.35954,20.600,-0.03333,-0.318,26.0,26.0,0.0,0,
0.2294,0.00000,-0.03803,0.00000,-0.01832,0.35954,20.600,-0.03333,-0.318,26.0,26.0,0.0,0,
0.2761,0.00000,0.00254,0.00000,0.00122,0.35954,20.600,-0.01111,-0.106,26.0,26.0,0.0,0,
0.3222,0.00000,-0.02789,0.00000,-0.01343,0.35954,20.600,0.01111,0.106,26.0,26.0,0.0,0,
0.3850,0.00000,-0.05324,0.00000,-0.02564,0.35954,20.600,-0.05556,-0.531,26.0,26.0,0.0,0,
0.4517,0.00000,-0.02282,0.00000,-0.01099,0.35954,20.600,-0.16667,-1.592,26.0,26.0,0.0,0,
0.4995,0.00000,-0.00254,0.00000,-0.00122,0.35954,20.600,-0.03333,-0.318,26.0,26.0,0.0,0,
0.5556,0.00000,-0.00254,0.00000,-0.00122,0.35954,20.600,-0.03333,-0.318,26.0,26.0,0.0,0,
0.6002,0.00000,-0.02282,0.00000,-0.01099,0.35954,20.600,-0.01111,-0.106,26.0,26.0,0.0,0,
0.6492,0.00000,-0.00761,0.00000,-0.00366,0.35954,20.600,-0.10000,-0.955,26.0,26.0,0.0,0,
0.6977,0.00000,-0.01268,0.00000,-0.00611,0.35954,20.600,-0.07778,-0.743,26.0,26.0,0.0,0,
0.7485,0.00000,-0.02282,0.00000,-0.01099,0.35954,20.600,0.03333,0.318,26.0,26.0,0.0,0,
0.7982,0.00000,-0.03296,0.00000,-0.01587,0.35954,20.600,0.01111,0.106,26.0,26.0,0.0,0,
0.8477,0.00000,0.01268,0.00000,0.00611,0.35954,20.600,-0.03333,-0.318,26.0,26.0,0.0,0,
0.9061,0.00000,-0.01775,0.00000,-0.00855,0.35954,20.600,-0.07778,-0.743,26.0,26.0,0.0,0,
0.9531,0.00000,-0.00761,0.00000,-0.00366,0.35954,20.600,0.03333,0.318,26.0,26.0,0.0,0,
1.0071,0.00000,-0.01268,0.00000,-0.00611,0.35954,20.600,-0.05556,-0.531,26.0,26.0,0.0,0,
1.0610,0.00000,0.00254,0.00000,0.00122,0.35954,20.600,-0.03333,-0.318,26.0,26.0,0.0,0,
1.1212,0.00000,-0.02282,0.00000,-0.01099,0.35954,20.600,-0.01111,-0.106,26.0,26.0,0.0,0,
1.1790,0.00000,0.01268,0.00000,0.00611,0.35954,20.600,-0.12222,-1.167,26.0,26.0,0.0,0,
1.2374,0.00000,-0.01775,0.00000,-0.00855,0.35954,20.600,-0.03333,-0.318,26.0,26.0,0.0,0,
1.2866,0.00000,-0.01775,0.00000,-0.00855,0.35954,20.600,0.01111,0.106,26.0,26.0,0.0,0,
1.3369,0.00000,-0.02789,0.00000,-0.01343,0.35954,20.600,-0.07778,-0.743,26.0,26.0,0.0,0,
1.3923,0.00000,-0.00761,0.00000,-0.00366,0.35954,20.600,0.14444,1.379,26.0,26.0,0.0,0,
1.4372,0.00000,-0.01268,0.00000,-0.00611,0.35954,20.600,-0.07778,-0.743,26.0,26.0,0.0,0,
1.4868,0.00000,-0.00761,0.00000,-0.00366,0.35954,20.600,-0.07778,-0.743,26.0,26.0,0.0,0,
