# AK40-10 Torque/Current Verification Log
# Date: 2026-09-16 15:37:16
# Mode: MIT
# CAN ID: 2
# Kt_eff: 0.4816 Nm/A
# Gear Ratio: 10.0
# Input Mode: TORQUE
# MIT Kp: 0.0
# MIT Kd: 0.5
# MIT v_des: 0.0
# MIT p_des: 0.0

time_s,target_current_A,actual_current_A,target_torque_Nm,actual_torque_Nm,position_rad,position_deg,speed_rad_s,speed_rpm,motor_temp_C,mos_temp_C,voltage_V,error_code,sweep_step
31.1609,0.20764,0.15972,0.10000,0.07692,-12.36763,-708.613,0.05556,0.531,52.0,52.0,0.0,0,0.1000
31.3008,0.20764,0.12930,0.10000,0.06227,-12.36152,-708.263,0.01111,0.106,52.0,52.0,0.0,0,0.1000
31.4159,0.20764,0.19015,0.10000,0.09158,-12.36038,-708.198,0.03333,0.318,52.0,52.0,0.0,0,0.1000
31.5558,0.20764,0.15465,0.10000,0.07448,-12.35885,-708.110,-0.01111,-0.106,52.0,52.0,0.0,0,0.1000
31.6523,0.20764,0.17494,0.10000,0.08425,-12.35809,-708.066,0.01111,0.106,52.0,52.0,0.0,0,0.1000
31.7746,0.20764,0.19015,0.10000,0.09158,-12.35771,-708.045,0.03333,0.318,52.0,52.0,0.0,0,0.1000
31.8671,0.20764,0.21043,0.10000,0.10134,-12.35771,-708.045,-0.07778,-0.743,51.0,51.0,0.0,0,0.1000
31.9660,0.20764,0.20536,0.10000,0.09890,-12.35771,-708.045,-0.01111,-0.106,51.0,51.0,0.0,0,0.1000
32.0672,0.20764,0.18001,0.10000,0.08669,-12.35771,-708.045,0.03333,0.318,51.0,51.0,0.0,0,0.1000
32.1732,0.20764,0.19522,0.10000,0.09402,-12.35771,-708.045,0.01111,0.106,51.0,51.0,0.0,0,0.1000
32.2994,0.20764,0.17494,0.10000,0.08425,-12.35771,-708.045,0.03333,0.318,51.0,51.0,0.0,0,0.1000
32.4200,0.20764,0.19522,0.10000,0.09402,-12.35771,-708.045,-0.10000,-0.955,51.0,51.0,0.0,0,0.1000
32.5436,0.20764,0.18508,0.10000,0.08913,-12.35771,-708.045,-0.03333,-0.318,51.0,51.0,0.0,0,0.1000
32.6606,0.20764,0.18001,0.10000,0.08669,-12.35771,-708.045,0.01111,0.106,51.0,51.0,0.0,0,0.1000
32.7751,0.20764,0.20029,0.10000,0.09646,-12.35771,-708.045,-0.12222,-1.167,51.0,51.0,0.0,0,0.1000
32.8893,0.20764,0.18001,0.10000,0.08669,-12.35771,-708.045,0.01111,0.106,51.0,51.0,0.0,0,0.1000
32.9786,0.20764,0.19015,0.10000,0.09158,-12.35771,-708.045,0.05556,0.531,51.0,51.0,0.0,0,0.1000
33.0749,0.20764,0.19522,0.10000,0.09402,-12.35771,-708.045,-0.05556,-0.531,51.0,51.0,0.0,0,0.1000
33.1888,0.20764,0.18001,0.10000,0.08669,-12.35771,-708.045,-0.05556,-0.531,51.0,51.0,0.0,0,0.1000
33.3055,0.20764,0.19522,0.10000,0.09402,-12.35771,-708.045,0.01111,0.106,51.0,51.0,0.0,0,0.1000
33.4245,0.20764,0.19015,0.10000,0.09158,-12.35771,-708.045,0.03333,0.318,51.0,51.0,0.0,0,0.1000
33.5366,0.20764,0.19522,0.10000,0.09402,-12.35771,-708.045,-0.03333,-0.318,51.0,51.0,0.0,0,0.1000
33.6429,0.20764,0.19522,0.10000,0.09402,-12.35771,-708.045,0.01111,0.106,51.0,51.0,0.0,0,0.1000
33.7477,0.20764,0.18508,0.10000,0.08913,-12.35771,-708.045,-0.01111,-0.106,51.0,51.0,0.0,0,0.1000
33.8490,0.20764,0.19015,0.10000,0.09158,-12.35771,-708.045,-0.03333,-0.318,51.0,51.0,0.0,0,0.1000
33.9472,0.20764,0.17494,0.10000,0.08425,-12.35771,-708.045,0.03333,0.318,51.0,51.0,0.0,0,0.1000
34.0422,0.20764,0.18508,0.10000,0.08913,-12.35771,-708.045,-0.07778,-0.743,51.0,51.0,0.0,0,0.1000
34.1480,0.41528,0.25607,0.20000,0.12332,-12.35580,-707.935,0.03333,0.318,51.0,51.0,0.0,0,0.2000
34.2806,0.41528,0.41832,0.20000,0.20147,-12.35008,-707.607,-0.07778,-0.743,51.0,51.0,0.0,0,0.2000
34.4048,0.41528,0.38283,0.20000,0.18437,-12.34970,-707.586,-0.05556,-0.531,51.0,51.0,0.0,0,0.2000
34.5228,0.41528,0.41325,0.20000,0.19902,-12.34970,-707.586,-0.03333,-0.318,51.0,51.0,0.0,0,0.2000
34.6522,0.41528,0.40311,0.20000,0.19414,-12.34970,-707.586,0.01111,0.106,51.0,51.0,0.0,0,0.2000
