# AK40-10 Torque/Current Verification Log
# Date: 2026-09-16 15:33:11
# Mode: MIT
# CAN ID: 2
# Kt_eff: 0.4816 Nm/A
# Gear Ratio: 10.0
# Input Mode: AMPS
# MIT Kp: 0.0
# MIT Kd: 0.5
# MIT v_des: 0.0
# MIT p_des: 0.0

time_s,target_current_A,actual_current_A,target_torque_Nm,actual_torque_Nm,position_rad,position_deg,speed_rad_s,speed_rpm,motor_temp_C,mos_temp_C,voltage_V,error_code,sweep_step
0.1160,0.00000,-0.03803,0.00000,-0.01832,-12.36954,-708.722,-0.03333,-0.318,39.0,39.0,0.0,0,
0.2376,0.00000,-0.04310,0.00000,-0.02076,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
0.3515,0.00000,-0.03296,0.00000,-0.01587,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
0.4501,0.00000,-0.00761,0.00000,-0.00366,-12.36954,-708.722,-0.03333,-0.318,39.0,39.0,0.0,0,
0.5470,0.00000,-0.00254,0.00000,-0.00122,-12.36954,-708.722,-0.03333,-0.318,39.0,39.0,0.0,0,
0.6564,0.00000,-0.02282,0.00000,-0.01099,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
0.7529,0.00000,0.01268,0.00000,0.00611,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
0.8940,0.00000,-0.00254,0.00000,-0.00122,-12.36954,-708.722,-0.10000,-0.955,39.0,39.0,0.0,0,
1.0115,0.00000,0.01775,0.00000,0.00855,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
1.1314,0.00000,-0.03296,0.00000,-0.01587,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
1.2338,0.00000,-0.01775,0.00000,-0.00855,-12.36954,-708.722,0.05556,0.531,39.0,39.0,0.0,0,
1.3209,0.00000,0.00254,0.00000,0.00122,-12.36954,-708.722,0.01111,0.106,39.0,39.0,0.0,0,
1.4253,0.00000,-0.00254,0.00000,-0.00122,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
1.5271,0.00000,-0.00254,0.00000,-0.00122,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
1.6369,0.00000,-0.00761,0.00000,-0.00366,-12.36954,-708.722,0.01111,0.106,39.0,39.0,0.0,0,
1.7449,0.00000,-0.03296,0.00000,-0.01587,-12.36954,-708.722,0.01111,0.106,39.0,39.0,0.0,0,
1.8647,0.00000,-0.00761,0.00000,-0.00366,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
1.9811,0.00000,-0.01775,0.00000,-0.00855,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
2.1128,0.00000,-0.01268,0.00000,-0.00611,-12.36954,-708.722,0.01111,0.106,39.0,39.0,0.0,0,
2.2360,0.00000,0.01268,0.00000,0.00611,-12.36954,-708.722,-0.03333,-0.318,39.0,39.0,0.0,0,
2.3543,0.00000,-0.00761,0.00000,-0.00366,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
2.4942,0.00000,0.00254,0.00000,0.00122,-12.36954,-708.722,0.01111,0.106,39.0,39.0,0.0,0,
2.5996,0.00000,0.00254,0.00000,0.00122,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
2.7409,0.00000,-0.04817,0.00000,-0.02320,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
2.8609,0.00000,-0.01775,0.00000,-0.00855,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
2.9753,0.00000,-0.02282,0.00000,-0.01099,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
3.0568,0.00000,-0.00254,0.00000,-0.00122,-12.36954,-708.722,0.05556,0.531,39.0,39.0,0.0,0,
3.1368,0.00000,-0.00254,0.00000,-0.00122,-12.36954,-708.722,-0.14444,-1.379,39.0,39.0,0.0,0,
3.2338,0.00000,-0.00761,0.00000,-0.00366,-12.36954,-708.722,0.05556,0.531,39.0,39.0,0.0,0,
3.3311,0.00000,-0.00761,0.00000,-0.00366,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
3.4412,0.00000,-0.01268,0.00000,-0.00611,-12.36954,-708.722,-0.03333,-0.318,39.0,39.0,0.0,0,
3.5560,0.00000,-0.02789,0.00000,-0.01343,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
3.6708,0.00000,-0.01775,0.00000,-0.00855,-12.36954,-708.722,-0.03333,-0.318,39.0,39.0,0.0,0,
3.7694,0.00000,-0.03296,0.00000,-0.01587,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
3.8792,0.00000,-0.03296,0.00000,-0.01587,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
3.9806,0.00000,-0.03803,0.00000,-0.01832,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
4.0954,0.00000,-0.02789,0.00000,-0.01343,-12.36954,-708.722,-0.07778,-0.743,39.0,39.0,0.0,0,
4.2240,0.00000,-0.01268,0.00000,-0.00611,-12.36954,-708.722,-0.03333,-0.318,39.0,39.0,0.0,0,
4.3244,0.00000,-0.01775,0.00000,-0.00855,-12.36954,-708.722,0.05556,0.531,39.0,39.0,0.0,0,
4.4473,0.00000,-0.02282,0.00000,-0.01099,-12.36954,-708.722,-0.12222,-1.167,39.0,39.0,0.0,0,
4.5721,0.00000,-0.01268,0.00000,-0.00611,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
4.7201,0.00000,-0.02282,0.00000,-0.01099,-12.36915,-708.700,0.12222,1.167,39.0,39.0,0.0,0,
4.8389,0.00000,-0.02282,0.00000,-0.01099,-12.36954,-708.722,0.05556,0.531,39.0,39.0,0.0,0,
4.9359,0.00000,-0.03803,0.00000,-0.01832,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
5.0467,0.00000,-0.01268,0.00000,-0.00611,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
5.1512,0.00000,-0.02282,0.00000,-0.01099,-12.36954,-708.722,0.05556,0.531,39.0,39.0,0.0,0,
5.2426,0.00000,-0.03296,0.00000,-0.01587,-12.36954,-708.722,-0.07778,-0.743,39.0,39.0,0.0,0,
5.3374,0.00000,-0.01775,0.00000,-0.00855,-12.36954,-708.722,-0.07778,-0.743,39.0,39.0,0.0,0,
5.4606,0.00000,-0.03296,0.00000,-0.01587,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
5.6105,0.00000,0.01268,0.00000,0.00611,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
5.7285,0.00000,-0.01775,0.00000,-0.00855,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
5.8292,0.00000,0.01268,0.00000,0.00611,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
5.9497,0.00000,-0.02789,0.00000,-0.01343,-12.36954,-708.722,0.01111,0.106,39.0,39.0,0.0,0,
6.0561,0.00000,0.00254,0.00000,0.00122,-12.36954,-708.722,0.01111,0.106,39.0,39.0,0.0,0,
6.1513,0.00000,-0.01268,0.00000,-0.00611,-12.36954,-708.722,-0.01111,-0.106,39.0,39.0,0.0,0,
6.2633,0.00000,-0.03296,0.00000,-0.01587,-12.36954,-708.722,-0.12222,-1.167,39.0,39.0,0.0,0,
6.3862,0.00000,-0.01268,0.00000,-0.00611,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
6.4996,0.00000,-0.04310,0.00000,-0.02076,-12.36954,-708.722,0.03333,0.318,39.0,39.0,0.0,0,
6.6073,0.00000,-0.00254,0.00000,-0.00122,-12.36954,-708.722,-0.05556,-0.531,39.0,39.0,0.0,0,
